"ANO4","IPCF","IPCF_AE","IPCF_act","IPCF_AE_act","GENERO"
2019,2400,2863.96181384248,2841.42548623717,3390.72253727586,2
2019,10000,11013.2158590308,11839.2728593216,13038.8467613673,2
2019,22500,27950.3105590062,26638.3639334735,33091.1353210851,2
2019,7800,8571.42857142857,9234.63283027081,10147.9481651328,2
2019,30000,39473.6842105263,35517.8185779647,46733.9718131114,2
2019,26000,29378.5310734463,30782.109434236,34782.0445584588,2
2019,3980,5527.77777777778,4712.03059800998,6544.48694168052,1
2019,7114.29,8783.06878306878,8422.80205103427,10398.5147864941,2
2019,12000,14285.7142857143,14207.1274311859,16913.2469418879,2
2019,7250,8146.06741573034,8583.47282300812,9644.35148652598,1
2019,31333.33,42342.3423423423,37096.3843461166,50130.2544493795,2
2019,12982,16432.9113924051,15369.7440259712,19455.3721847737,2
2019,5750,7443.36569579288,6807.58189410989,8812.40374642057,2
2019,3925,4913.92801251956,4646.91459728371,5817.73345512827,1
2019,6875,10617.7606177606,8139.50009078357,12570.6565108626,1
2019,12600,20000,14917.4838027452,23678.5457186431,2
2019,6435.4,8004.22885572139,7619.04565588779,9476.42494513407,1
2019,34333.33,46188.3408071749,40648.166203913,54683.636973548,1
2019,9833.33,13947.9905437352,11641.9476985752,16513.4065886518,1
2019,15000,17045.4545454545,17758.9092889823,20180.5787374799,2
2019,13600,17973.5682819383,16101.4110886773,21279.3979145515,2
2019,34000,44736.8421052632,40253.5277216933,52965.1680548596,2
2019,37500,48701.2987012987,44397.2732224558,57658.7963927998,2
2019,0,0,0,0,2
2019,20666.67,27312.7753303965,24467.8345223555,32336.339968191,2
2019,2200,2682.92682926829,2604.64002905074,3176.39027933017,2
2019,21000,29166.6666666667,24862.4730045753,34531.2125063545,2
2019,26666.67,29962.5468164794,31571.3982379484,35473.4767320496,2
2019,5775,7598.68421052632,6837.1800762582,8996.28957402394,2
2019,1800,2123.19790301442,2131.06911467788,2513.7119308127,2
2019,16000,17266.1870503597,18942.8365749145,20441.9099729293,1
2019,6850,7784.09090909091,8109.90190863526,9215.79762344916,1
2019,32500,32500,38477.636792795,38477.636792795,1
2019,6720,8038.27751196172,7955.99136146408,9516.73607830632,1
2019,860,1291.29129129129,1018.17746590165,1528.79499384633,2
2019,12280,13406.1135371179,14538.6270712469,15871.8636148983,1
2019,8000,10335.9173126615,9471.41828745724,12236.9745315985,2
2019,6000,7476.63551401869,7103.56371559293,8851.79279201611,1
2019,12580,14627.9069767442,14893.8052570265,17318.3782058448,1
2019,31533.33,37391.3043478261,37333.169803303,44268.5854739849,2
2019,22000,30136.9863013699,26046.4002905074,35680.0003979554,2
2019,41250,40841.5841584158,48837.0005447014,48353.465885843,1
2019,14233.33,16877.4703557312,16851.2277566767,19981.6976716613,2
2019,7100,8184.43804034582,8405.8837301183,9689.77951598651,1
2019,2750,3691.27516778523,3255.80003631343,4370.20139102473,2
2019,6250,8169.93464052288,7399.54553707597,9672.60854519734,1
2019,10000,14084.5070422535,11839.2728593216,16675.0321962275,2
2019,7500,9554.14012738853,8879.45464449116,11311.4071904346,2
2019,29300,43731.3432835821,34689.0694778121,51774.7305638987,2
2019,2000,2805.04908835905,2367.85457186431,3320.97415408739,1
2019,22000,32835.8208955224,26046.4002905074,38875.2243141902,2
2019,41450,49640.7185628743,49073.7860018878,58771.0011998657,1
2019,20957.6,26595.9390862944,24812.2744876517,31487.6579792535,1
2019,2575,2893.25842696629,3048.6127612753,3425.40759693854,2
2019,5166.67,6858.40707964602,6116.96159040709,8119.85527962319,2
2019,14166.67,18973.2142857143,16772.3071637965,22462.9060946949,2
2019,30000,40000,35517.8185779647,47357.0914372862,1
